127.0.0.1 - - [10/Jun/2021:15:56:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:56:44 +0900] "GET /spw/WEB-INF/view/meminsert/meminsertform.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:56:57 +0900] "GET /spw/index.jsp HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:56:57 +0900] "GET /spw/include/css/mainstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:56:57 +0900] "GET /spw/include/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:57:01 +0900] "GET /spw/logout.spw HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:57:01 +0900] "GET /spw/include/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:57:01 +0900] "GET /spw/include/img/naver.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:57:01 +0900] "GET /spw/include/img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:57:07 +0900] "GET /spw/meminsertform.spw HTTP/1.1" 200 10779
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:57:07 +0900] "GET /spw/include/css/memberinsert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:15:57:07 +0900] "GET /spw/include/js/jquery-1.12.0.js HTTP/1.1" 304 -
